interface_type, frequency
com.sun.jdi.ArrayReference, 2
com.sun.jdi.request.StepRequest, 2
jdk.javadoc.doclet.Reporter, 2
java.lang.String, 2
java.security.interfaces.XECPublicKey, 2
com.sun.jdi.request.ThreadStartRequest, 2
javax.xml.crypto.dsig.SignatureMethod, 2
java.sql.SQLXML, 2
com.sun.source.tree.PackageTree, 2
com.sun.jdi.StringReference, 2
javax.tools.JavaCompiler.CompilationTask, 2
com.sun.source.doctree.AuthorTree, 2
com.sun.jdi.Location, 2
com.sun.jdi.request.BreakpointRequest, 2
com.sun.source.doctree.ValueTree, 2
javax.sql.RowSetMetaData, 2
javax.print.DocPrintJob, 2
com.sun.source.tree.SynchronizedTree, 2
com.sun.source.doctree.EntityTree, 2
com.sun.source.tree.YieldTree, 2
com.sun.jdi.request.EventRequestManager, 2
javax.lang.model.element.ModuleElement, 2
java.net.http.WebSocket.Builder, 2
com.sun.jdi.event.StepEvent, 2
java.util.PrimitiveIterator.OfDouble, 2
com.sun.jdi.event.ClassUnloadEvent, 2
com.sun.jdi.CharType, 2
com.sun.source.doctree.DocTree, 2
javax.annotation.processing.ProcessingEnvironment, 2
com.sun.jdi.Locatable, 2
com.sun.source.tree.TryTree, 2
javax.lang.model.type.PrimitiveType, 2
javax.sql.RowSetInternal, 2
com.sun.source.doctree.IndexTree, 2
com.sun.source.doctree.DocCommentTree, 2
javax.sql.rowset.spi.XmlWriter, 2
com.sun.source.tree.ForLoopTree, 2
javax.management.Descriptor, 2
com.sun.nio.sctp.SctpSocketOption, 2
com.sun.source.tree.ExpressionStatementTree, 2
javax.imageio.stream.ImageInputStream, 2
com.sun.source.doctree.UnknownInlineTagTree, 2
com.sun.source.tree.ArrayTypeTree, 2
javax.lang.model.element.PackageElement, 2
javax.naming.event.ObjectChangeListener, 2
com.sun.jdi.BooleanValue, 2
com.sun.jdi.ByteValue, 2
com.sun.source.util.SourcePositions, 2
com.sun.jdi.VoidValue, 2
com.sun.jdi.event.MethodEntryEvent, 2
com.sun.source.tree.AnnotatedTypeTree, 2
com.sun.source.tree.NewArrayTree, 2
javax.annotation.processing.Messager, 2
javax.tools.JavaCompiler, 2
jdk.jshell.tool.JavaShellToolBuilder, 2
java.util.prefs.PreferencesFactory, 2
com.sun.source.tree.UsesTree, 2
com.sun.source.tree.CaseTree, 2
com.sun.jdi.event.MonitorContendedEnterEvent, 2
com.sun.source.doctree.UnknownBlockTagTree, 2
com.sun.source.tree.PrimitiveTypeTree, 2
java.sql.CallableStatement, 2
com.sun.jdi.InterfaceType, 2
com.sun.source.doctree.EndElementTree, 2
java.util.function.DoubleUnaryOperator, 2
com.sun.source.doctree.HiddenTree, 2
com.sun.source.doctree.StartElementTree, 2
com.sun.jdi.ThreadGroupReference, 2
java.util.PrimitiveIterator.OfLong, 2
com.sun.source.doctree.BlockTagTree, 2
javax.swing.event.TreeWillExpandListener, 2
javax.lang.model.element.ModuleElement.ExportsDirective, 2
javax.xml.crypto.XMLCryptoContext, 2
com.sun.source.doctree.TextTree, 2
javax.lang.model.type.NullType, 2
javax.xml.crypto.dsig.keyinfo.KeyValue, 2
java.util.concurrent.locks.Condition, 2
javax.lang.model.type.TypeMirror, 2
java.awt.datatransfer.FlavorListener, 2
javax.management.remote.JMXConnector, 2
javax.xml.crypto.dsig.SignatureProperty, 2
javax.lang.model.element.TypeElement, 2
com.sun.source.doctree.ThrowsTree, 2
com.sun.jdi.request.ExceptionRequest, 2
javax.tools.FileObject, 2
com.sun.source.tree.AssignmentTree, 2
javax.lang.model.type.ArrayType, 2
